This is Bill Lange. I'm Dave Gallo.	大卫.盖罗：这位是比尔.兰格， 我是大卫.盖罗。
And in the last six months, we've had less places reinfected by polio than at any other time in history.	在过去六个月 脊髓灰质炎再感染地区的数量 也下降到历史以来最低
Ladies and gentlemen, with a combination of smart people, smart technology and smart investments, polio can now be eradicated anywhere.	女士们先生们，我们结合了 人类的智慧，先进的科技 创新的发明 使得脊髓灰质炎无处藏身
We have major challenges, you can imagine, to finish this job, but as you've also seen, it's doable, it has great secondary benefits, and polio eradication is a great buy.	我们面临巨大的挑战，如你所知 来完成这项事业 但你也看到了 它可能的 它能带来巨大的衍生利益 而根除脊髓灰质炎是一笔很棒的交易
And as long as any child anywhere is paralyzed by this virus, it's a stark reminder that we are failing, as a society, to reach children with the most basic of services.	只要世界上还有儿童 因其瘫痪 就提醒着我们 整个社会就还未成功地给儿童 提供最基本的服务
And for that reason, polio eradication: it's the ultimate in equity and it's the ultimate in social justice.	因此，根除脊髓灰质炎 意味着最终的平等 和社会公正
The huge social movement that's been involved in polio eradication is ready to do way more for these children.	这个巨大的社会活动群体 一直以来参与到根除脊髓灰质炎事业中 正准备为这些儿童贡献更多
It's ready to reach them with bed nets, with other things.	给他们提供蚊帐，以及其他
But capitalizing on their enthusiasm, capitalizing on their energy means finishing the job that they started 20 years ago.	而利用他们的热情 他们的能量 意味着完成 这项20年前开始的工作
Finishing polio is a smart thing to do, and it's the right thing to do.	根除脊髓灰质炎是一件明智的事 同时也是正确的
Now we're in tough times economically.	现在我们处在金融困难时期
But as David Cameron of the United Kingdom said about a month ago when he was talking about polio, "There's never a wrong time to do the right thing."	但正如英国大卫·卡梅隆首相 一个月前谈到脊髓灰质炎时所说的 "做合适的事情 从来没有错误的时间"
Finishing polio eradication is the right thing to do.	而根除脊髓灰质炎 就是这样无比正确一件事
And we are at a crossroads right now in this great effort over the last 20 years.	我们现在处在十字路口 经过20年来艰难的努力
We have a new vaccine, we have new resolve, and we have new tactics.	我们有了新的疫苗 我们有了新的解决方式 有了新的战术
We have the chance to write an entirely new polio-free chapter in human history.	我们有机会 将告别脊髓灰质炎的新篇章 书写进人类历史
But if we blink now, we will lose forever the chance to eradicate an ancient disease.	但稍一恍惚 我们便可能永远失去 彻底根除这个古老疾病的机会
Here's a great idea to spread: End polio now.	这就是我今天要传播的愿景 立即根除脊髓灰质炎
Help us tell the story.	请帮我们传播这个故事吧
Help us build the momentum so that very soon every child, every parent everywhere can also take for granted a polio-free life forever.	帮我们筑造声势 那么很快 每一个孩子，每一个父母 不论在哪里 都能理所应当地 永远不再为脊髓灰质炎担忧
Thank you.	谢谢大家
Bill Gates: Well Bruce, where do you think the toughest places are going to be?	掌声 比尔·盖茨：布鲁斯，你认为最困难的地方在哪里
Where would you say we need to be the smartest?	我们需要在那些地方特别谨慎
B The four places where you saw, that we've never stopped -- northern Nigeria, northern India, the southern corner of Afghanistan and bordering areas of Pakistan -- they're going to be the toughest.	布鲁斯·艾尔沃德：就是你刚才看到的那四个地方，我们从未中止过疾病的区域 尼日尼亚北部，印度北部 阿富汗南角 和巴基斯坦交界处 这些区域是最困难的
But the interesting thing is, of those three, India's looking real good, as you just saw in the data.	关于其中三个国家，有一点很有趣 印度现在情况很好，正如刚才的数据显示
And Afghanistan, Afghanistan, we think has probably stopped polio repeatedly.	在阿富汗，我们 大概多次了中断了脊髓灰质炎感染
It keeps getting reinfected.	但它又不断复发
So the tough ones: going to get the top of Nigeria finished and getting Pakistan finished.	因此最困难的是尼日尼亚北部 和巴基斯坦
They're going to be the tough ones.	它们是我们最难根除脊髓灰质炎的地区
Now what about the money?	比尔·盖茨：资金方面呢？
Give us a sense of how much the campaign costs a year.	这场运动每年大概会耗费多少钱
And is it easy to raise that money?	资金的筹集容易吗？
And what's it going to be like the next couple of years?	接下来几年情况如何？
B It's interesting.	布鲁斯·艾尔沃德：这一点比较有趣
We spend right now about 750 million to 800 million dollars a year.	我们现在每年花费7.5 到8亿美元
That's what it costs to reach 500 million children.	这是帮助5亿儿童的花费
It sounds like a lot of money; it is a lot of money.	这数目听起来很大，的确，是花了很多钱
But when you're reaching 500 million children multiple times -- 20, 30 cents to reach a child -- that's not very much money.	但用这些钱，我们能给5亿儿童提供多次的帮助 每个儿童仅花费了20到 30美分 这其实是很少的数目
But right now we don't have enough of that.	而现在我们资金不够
We have a big gap in that money. We're cutting corners, and every time we cut corners, more places get infected that shouldn't have, and it just slows us down.	我们差的还很远。因此我们在减少开支 但每减少一次 就意味着更多本不该被感染的地区受到感染，同时减缓我们的进度
And that great buy costs us a little bit more.	而这项伟大交易的成本又上涨了一些
Well, hopefully we'll get the word out, and the governments will keep their generosity up.	比尔·盖茨：希望我们可以 让政府慷慨许诺，资助这项事业
So good luck. We're all in this with you.	祝好运，我们都支持你们
Thank you.	非常感谢（比尔·盖茨：谢谢你）
	掌声
Hi, my name is Frank, and I collect secrets.	弗兰克·沃伦:大家好,我叫弗兰克 我收集秘密
It all started with a crazy idea in November of 2004.	2004年的11月 我有了一个疯狂的想法
I printed up 3,000 self-addressed postcards, just like this.	我印制了3000张带返邮地址的明信片 就像这样
They were blank on one side, and on the other side I listed some simple instructions.	明信片的一侧是空白的 而在另外一侧 我加上了一些简单的说明
I asked people to anonymously share an artful secret they'd never told anyone before.	我让人们把他们从来没有告诉过任何人的秘密 与其他人分享
And I handed out these postcards randomly on the streets of Washington, D.C., not knowing what to expect.	然后我在华盛顿特区的大街上 随机分发这些明信片 我不知道接下来会发生什么
But soon the idea began spreading virally.	但是这个想法迅速传播开来了
People began to buy their own postcards and make their own postcards.	人们开始自己买明信片 并且写上他们的秘密
I started receiving secrets in my home mailbox, not just with postmarks from Washington, D.C., but from Texas, California, Vancouver, New Zealand, Iraq.	我开始在我家里的邮箱里收到各种秘密 这些秘密不仅仅来自华盛顿特区 还有来自德克萨斯州和加利福尼亚的 甚至还有来自温哥华,新西兰,还有伊拉克的
Soon my crazy idea didn't seem so crazy.	很快我发现这个主意并没有我想象的那么疯狂
PostSecret.com is the most visited advertisement-free blog in the world.	PostSecret.com 成为了世界上访问量最大的无广告博客
And this is my postcard collection today.	这些是我收藏的所有明信片
You can see my wife struggling to stack a brick of postcards on a pyramid of over a half-million secrets.	你可以看见我的妻子 正在努力地把一堆砖块厚的明信片 放在在由超过五十万个秘密构成的金字塔上
What I'd like to do now is share with you a very special handful of secrets from that collection, starting with this one.	我现在要做的 就是和你们分享一些我收藏中 相当特别的一些秘密 让我们从这个开始吧
"I found these stamps as a child, and I have been waiting all my life to have someone to send them to.	"当我还是一个小孩的时候我就有了这些邮票 但是我一生都在等着一个人 好让我用这些邮票寄信给某人
I never did have someone."	但是我没有等到。"
Secrets can take many forms.	秘密可以是多种多样的
They can be shocking or silly or soulful.	它们可以很震撼 很滑稽,或者饱含深情
They can connect us to our deepest humanity or with people we'll never meet.	分享秘密可以将我们带进人性的最深处 让我们和素不相识的人拥有某种联系
Maybe one of you sent this one in.	[遇到对我很粗鲁的顾客,我会给他们不含咖啡因的咖啡] 有一个人
I don't know.	把这个东西寄给了我
This one does a great job of demonstrating the creativity that people have when they make and mail me a postcard.	这一张很好地说明了 当人们在制作自己的明信片的时候 是多么的富有创造力
This one obviously was made out of half a Starbucks cup with a stamp and my home address written on the other side.	这一张很明显是半个星巴克纸杯做成的 他在另一侧贴上了邮票写上了我家地址
"Dear Birthmother, I have great parents.	"亲爱的生母,我现在有了很棒的养父母
I've found love. I'm happy."	我找到了爱,我很开心。"
Secrets can remind us of the countless human dramas, of frailty and heroism, playing out silently in the lives of people all around us even now.	秘密可以让我们想起无数的人间悲喜剧 关乎脆弱与坚强 在我们周围的人身上 悄悄的发生 而也在不断重演
"Everyone who knew me before 9/11 believes I'm dead."	"所有在911之前认识我的人 都以为我死了。"
"I used to work with a bunch of uptight religious people, so sometimes I didn't wear panties, and just had a big smile and chuckled to myself."	"我曾经和一群极其虔诚的信徒一起工作 所以在我没穿内裤的时候 尽管一直忍着,但是在心里头还总是坏笑。"
This next one takes a little explanation before I share it with you.	在我给你们看下一个之前,我要先说明一下
I love to speak on college campuses and share secrets and the stories with students.	我喜欢在大学校园里演讲 并且与学生们分享秘密和故事
And sometimes afterwards I'll stick around and sign books and take photos with students.	在这之后,我有时就会到处逛 签售一些书,和学生们合影
And this next postcard was made out of one of those photos.	就这样,其中的一张合影 就出现在了这张明信片上
And I should also mention that, just like today, at that PostSecret event, I was using a wireless microphone.	而且我必须说明 在那次会上,就像今天 我用了一只无线麦克风
"Your mic wasn't off during sound check.	"你在试音之后没有关掉麦克风
We all heard you pee."	我们都听到了你尿尿的声音。"
This was really embarrassing when it happened, until I realized it could have been worse.	这件事情一直都让我觉得很难为情 直到我想到,还好他们没有听到其他东西
Right. You know what I'm saying.	对吧,大家都懂的
"Inside this envelope is the ripped up remains of a suicide note I didn't use.	"在这个信封里 是我撕掉了的自杀遗书 还好我没有想要用它
I feel like the happiest person on Earth " "One of these men is the father of my son.	现在,我觉得我是这个星球上最开心的人了。" "这些人中的一个是我儿子的爸爸
He pays me a lot to keep it a secret."	他给了我一大笔封口费。"
"That Saturday when you wondered where I was, well, I was getting your ring.	"那个周六当你想着我在哪的时候 嗯,我在帮你买戒指呢
It's in my pocket right now."	它现在就在我的口袋里。"
I had this postcard posted on the PostSecret blog two years ago on Valentine's Day.	我在两年前的情人节 把这张明信片上的内容发在PostSecret的博客上
It was the very bottom, the last secret in the long column.	并且把它放在了一大串秘密的最后
And it hadn't been up for more than a couple hours before I received this exuberant email from the guy who mailed me this postcard.	短短的几个小时以后 我就收到了这封欢乐的邮件 是把那张明信片寄给我的那个家伙写来的
And he said, "Frank, I've got to share with you this story that just played out in my life."	他说："弗兰克，你知道吗 刚才发生了一件不可思议的事情。"
He said, "My knees are still shaking."	他说："现在我的腿还颤抖着"
He said, "For three years, my girlfriend and I, we've made it this Sunday morning ritual to visit the PostSecret blog together and read the secrets out loud.	他说："三年以来，我和我的女朋友 一直都把一起看PostSecret博客 视作每星期天早上的议程 我们一起大声地读出那些秘密
I read some to her, she reads some to me."	我给她读一些，她给我读一些。"
He says, "It's really brought us closer together through the years.	他说："就这样，这些年来 我们也越来越亲近了
And so when I discovered that you had posted my surprise proposal to my girlfriend at the very bottom, I was beside myself.	而当我发现 你把我给我女朋友的求婚惊喜 藏在了这堆秘密的最后的时候 我高兴得快魂不附体了
And I tried to act calm, not to give anything away.	于是我装作什么事也没发生
And just like every Sunday, we started reading the secrets out loud to each other."	就像之前的每一个星期天 我们开始向对方读出这一个个秘密。"
He said, "But this time it seemed like it was taking her forever to get through each one."	"但是这一次，她读出每一个秘密用的时间 对于我来说都像是千万年。"
But she finally did.	但是她最后终于看到了
She got to that bottom secret, his proposal to her.	在最底下的那个她男朋友向她求婚的秘密
And he said, "She read it once and then she read it again."	"她读了一次，又读了一次"
And she turned to him and said, "Is that our cat?"	她然后转身问我， "那只猫是我们的猫吗？"
And when she saw him, he was down on one knee, he had the ring out.	而当她看到他的时候 她的男友正单膝跪地，把戒指递给她
He popped the question, she said yes. It was a very happy ending.	他问出了那个问题，得到了肯定回复。多美好的结局。
So I emailed him back and I said, "Please share with me an image, something, that I can share with the whole PostSecret community and let everyone know your fairy tale ending."	于是我回复他 "发给我一张你们的照片吧 这样我就可以和整个PostSecret社区 还有所有的人分享你们童话般的结局。"
And he emailed me this picture.	所以他就把这张照片传给了我
"I found your camera at Lollapalooza this summer.	"夏天的时候我在洛拉帕罗扎Lollapalooza发现了你的相机
I finally got the pictures developed and I'd love to give them to you."	我最后把这些照片洗出来了 我很想把它们还给你。"
This picture never got returned back to the people who lost it, but this secret has impacted many lives, starting with a student up in Canada named Matty.	这张照片一直都没有 被失主认领 但是这个秘密影响了很多人 从一个叫马蒂的学生开始吧 他来自加拿大
Matty was inspired by that secret to start his own website, a website called IFoundYourCamera.	马蒂受到这个秘密的触动 成立了自己的网站 叫做"我找到了你的相机"
Matty invites people to mail him digital cameras that they've found, memory sticks that have been lost with orphan photos.	马蒂邀请人们 把他们捡到的数码相机 或者丢失了的相片记忆卡 寄给他
And Matty takes the pictures off these cameras and posts them on his website every week.	每周马蒂都会把这些相机里的照片取出来 然后发到网上
And people come to visit to see if they can identify a picture they've lost or help somebody else get the photos back to them that they might be desperately searching for.	人们便可以在网站上 看他们能不能认出自己丢失了的照片 或者帮其他人找到 他们一直苦苦寻找的照片
This one's my favorite.	这是我最喜欢的一张
Matty has found this ingenious way to leverage the kindness of strangers.	马蒂独创了这个方法 来扩大善良陌生人的作用
And it might seem like a simple idea, and it is, but the impact it can have on people's lives can be huge.	这是一个简单的想法 但是它可以对一些人有巨大的影响
Matty shared with me an emotional email he received from the mother in that picture.	马蒂给我看过 一封给他的很深情邮件 是那幅照片里的妈妈寄给他的
"That's me, my husband and son.	"照片里的是我,还有我的丈夫,儿子
The other pictures are of my very ill grandmother.	其他的照片是我重病中的奶奶
Thank you for making your site.	幸亏有了你这个网站。
These pictures mean more to me than you know.	这些照片对于我比你能想象的要重要得多
My son's birth is on this camera.	这只相机见证了我儿子的出生
He turns four tomorrow."	他明天就四岁了。"
Every picture that you see there and thousands of others have been returned back to the person who lost it -- sometimes crossing oceans, sometimes going through language barriers.	大屏幕上的那几张照片 还有其它上千张 都已经还给了相应的失主-- 有时这些照片跨越了各个大洋 有时突破了语言的障碍
This is the last postcard I have to share with you today.	这是今天我想和你们分享的最后一张明信片
"When people I love leave voicemails on my phone I always save them in case they die tomorrow and I have no other way of hearing their voice ever again."	"当我爱的人 在我的电话语音邮箱里留言的时候 我总会保存下来,因为也许明天他们就会死去 要不然我就再也听不到 他们的声音了。"
When I posted this secret, dozens of people sent voicemail messages from their phones, sometimes ones they'd been keeping for years, messages from family or friends who had died.	当我在网上发布这个秘密的时候 许多人 发来了他们电话里保留着的语音信息 有些已经在里面好几年了 这些语音信息都是来自 他们死去了的家人或者朋友们的
They said that by preserving those voices and sharing them, it helped them keep the spirit of their loved ones alive.	他们说,他们留着这些声音 并且和别人分享 是为了让他们爱着的人永远活在自己心里
One young girl posted the last message she ever heard from her grandmother.	有一个女孩 发来了她从她奶奶听到的 最后的一条语音信息
Secrets can take many forms.	秘密可以有很多种
They can be shocking or silly or soulful.	可以是震撼,滑稽 或者饱含深情
They can connect us with our deepest humanity or with people we'll never meet again.	分享秘密可以将我们融进人性的最深处 让我们和素不相识的人有了某种联系
Voicemail recording: First saved voice message.	语音信箱记录:首条保存的语音信息
It's somebody's birthday today Somebody's birthday today The candles are lighted on somebody's cake And we're all invited for somebody's sake You're 21 years old today.	奶奶:今天是某人的生日 某人的生日 在她的蛋糕上 亮起了蜡烛 因为某人生日 我们都被邀请 今年你就21岁了
Have a real happy birthday, and I love you.	生日要很开心,我爱你
I'll say bye for now.	我要和你说再见了
Thank you.	弗兰克·沃伦:谢谢
Thank you.	谢谢
Frank, that was beautiful, so touching.	琼·科恩:弗兰克,那太美妙了 真的很感人
Have you ever sent yourself a postcard?	你自己给自己寄过明信片吗
Have you ever sent in a secret to PostSecret?	你自己给PostSecret发送过秘密吗
I have one of my own secrets in every book.	弗兰克·沃伦:我在我自己的每本书里都有我自己的一个秘密
I think in some ways, the reason I started the project, even though I didn't know it at the time, was because I was struggling with my own secrets.	我觉得,某些程度上,我发起这个项目的原因 尽管我在那时并不清楚 是因为我在为自己的一些小秘密而纠结
And it was through crowd-sourcing, it was through the kindness that strangers were showing me, that I could uncover parts of my past that were haunting me.	而通过把所有秘密集合起来 我看到了与我素不相识的人展现出来的善良 也正是这样 我才能把困扰自己已久的秘密公之于世
And has anyone ever discovered which secret was yours in the book?	琼·科恩:那有没有人发现 你书里面的某个秘密是你的呢
Has anyone in your life been able to tell?	有没有哪个人能够发现呢
Sometimes I share that information, yeah.	弗兰克·沃伦:我有的时候会告诉一些人哪些是我的秘密
I grew up in New York City, between Harlem and the Bronx.	我在纽约市长大， 介于哈莱姆区和布朗克斯区之间。
Growing up as a boy, we were taught that men had to be tough, had to be strong, had to be courageous, dominating -- no pain, no emotions, with the exception of anger -- and definitely no fear; that men are in charge, which means women are not; that men lead, and you should just follow and do what we say; that men are superior; women are inferior; that men are strong; women are weak; that women are of less value, property of men, and objects, particularly sexual objects.	从小男孩起，我们学到 男人应该意志坚强，身体强壮， 有勇气，有支配权-- 没有痛苦，没有感情， 除了愤怒之外-- 男人什么都不怕-- 男人全权负责，主管一切， 而女人不是； 男人是领导， 女人应该只是跟随和做男性吩咐的事； 男人带有优越性，女人是低人一等； 男人是强大的，女人弱小； 女人价值比较小-- 仅是男人的财富 和物品， 特别是性猎物。
I've later come to know that to be the collective socialization of men, better known as the "man box."	我后来了解到 这如上都是男人的集体社会化属性， 更好地称为 "男人束缚体"。
See this man box has in it all the ingredients of how we define what it means to be a man.	看看这"男人束缚体" 所有的成分 这就是我们怎样定义一个男人的。
Now I also want to say, without a doubt, there are some wonderful, wonderful, absolutely wonderful things about being a man.	此时我想说，毫无疑问， 男人身上也有很多美好的，不可思议的， 绝对棒的 品质。
But at the same time, there's some stuff that's just straight up twisted, and we really need to begin to challenge, look at it and really get in the process of deconstructing, redefining, what we come to know as manhood.	但同时， 有些东西 完全是扭曲了 我们真的需要开始 挑战，看看这些男性的特征 我们要进行 解构，重新定义， 我们重新认识什么才是男人气概。
This is my two at home, Kendall and Jay.	这是我家的两个孩子，肯德尔和杰伊。
They're 11 and 12.	他们现在是11岁和12岁。
Kendall's 15 months older than Jay.	肯德尔比杰伊大15个月。
There was a period of time when my wife -- her name is Tammie -- and I, we just got real busy and whip, bam, boom: Kendall and Jay.	有那么一段时期，我妻子塔蜜和我， 我们实在是忙得不可开交，用来照顾 肯德尔和杰伊。
And when they were about five and six, four and five, Jay could come to me, come to me crying.	当他们大约五岁和六岁， 或者四岁和五岁时， 杰伊可以来向我 哭哭啼啼。
It didn't matter what she was crying about, she could get on my knee, she could snot my sleeve up, just cry, cry it out.	当她哭泣，这没什么问题， 她可以坐在我膝上，她的鼻涕流到我的袖子上， 尽管哭，哭出来。
Daddy's got you. That's all that's important.	有爸爸在你身边爱护你是很重要的。
Now Kendall on the other hand -- and like I said, he's only 15 months older than her -- he'd come to me crying, it's like as soon as I would hear him cry, a clock would go off.	但换成是肯德尔-- 我说过，他比杰伊仅大15个月-- 他向我哭泣， 只要我听到他哭， 我的心理闹钟就上了发条
I would give the boy probably about 30 seconds, which means, by the time he got to me, I was already saying things like, "Why are you crying?	我会给肯德尔约30秒时间， 意味着，此时他得面对我， 我会说这样的话，"你为什么哭？
Hold your head up. Look at me.	抬起你的头，看着我。
Explain to me what's wrong.	说说你做错什么了。
Tell me what's wrong. I can't understand you.	告诉我你做错什么了。我实在不懂你。
Why are you crying?"	你哭什么？"
And out of my own frustration of my role and responsibility of building him up as a man to fit into these guidelines and these structures that are defining this man box, I would find myself saying things like, "Just go in your room.	我对没有 尽到自己的责任担当起 把他培养成男人的角色而感动沮丧 我还要适应这些原则 和这些男人束缚体的条条框框， 我觉得我会说出以下的话， "回到你房间去。
Just go on, go on in your room.	快回到你房间，
Sit down, get yourself together and come back and talk to me when you can talk to me like a --" what?	坐下来， 控制住你自己 然后回来和我谈话， 你要像个什么一样的人？"
Like a man.	（观众：男人。） "像个男人一样才能和我谈"。
And he's five years old.	肯德尔才5岁。
And as I grow in life, I would say to myself, "My God, what's wrong with me?	正如我在生活中的成长， 我会对自己说， "我的上帝，我怎么了？
What am I doing? Why would I do this?"	我到底做了什么？我怎么这样做？"
And I think back.	我回头想想。
I think back to my father.	我想到我的父亲。
There was a time in my life where we had a very troubled experience in our family.	我一生曾有 一段我们家族最难回首的往事。
My brother, Henry, he died tragically when we were teenagers.	我兄弟，亨利，他不幸去世， 当我们年少时。
We lived in New York City, as I said.	我们生活在纽约市，我说过。
We lived in the Bronx at the time, and the burial was in a place called Long Island, it was about two hours outside of the city.	那时我们住在布朗克斯区。 葬礼在长岛举行， 它在纽约市外有两个小时路程。
And as we were preparing to come back from the burial, the cars stopped at the bathroom to let folks take care of themselves before the long ride back to the city.	我们正要 从这葬礼返还回去， 汽车在洗手间停下来， 让人们去解手， 然后开始一段长途行程回去。
And the limousine empties out.	大轿车上空无一人。
My mother, my sister, my auntie, they all get out, but my father and I stayed in the limousine, and no sooner than the women got out, he burst out crying.	我母亲，我姐妹，我姑姑，他们都下了车， 只有我父亲和我留在大轿车上。 女人们刚下车， 我父亲就突然大哭。
He didn't want cry in front of me, but he knew he wasn't going to make it back to the city, and it was better me than to allow himself to express these feelings and emotions in front of the women.	他不想在我面前哭。 但他实在是忍不住了， 最好还是在我面前 而不是在女性面前去表达这些感情。
And this is a man who, 10 minutes ago, had just put his teenage son in the ground -- something I just can't even imagine.	我父亲，做为男人， 10分钟前， 刚刚下葬了他的孩子 入土-- 我真不敢想象当时发生的事。
The thing that sticks with me the most is that he was apologizing to me for crying in front of me, and at the same time, he was also giving me props, lifting me up, for not crying.	最让我触动的事 是他向我道歉 在我面前的哭泣。 同时，他也安慰我， 让我振作起来， 不要哭。
I come to also look at this as this fear that we have as men, this fear that just has us paralyzed, holding us hostage to this man box.	我回头看时才意识到 我们做为男人的这种畏惧， 让我们麻木的这种恐惧情绪， 使得我们成为 这个男人束缚体的人质。
I can remember speaking to a 12-year-old boy, a football player, and I asked him, I said, "How would you feel if, in front of all the players, your coach told you you were playing like a girl?"	我记得 与一个玩橄榄球的12岁男孩的交谈， 我问到： "你感觉怎样，假如 在所有队员前， 你教练说你玩起球来像个女孩？"
Now I expected him to say something like, I'd be sad; I'd be mad; I'd be angry, or something like that.	当时我期望他会说出类似的话， 我会悲伤，我要疯了，我很生气，等等。
No, the boy said to me -- the boy said to me, "It would destroy me."	不，男孩对我 说到： "这会毁了我。"
And I said to myself, "God, if it would destroy him to be called a girl, what are we then teaching him about girls?"	我又对自己说： "上帝啊，如果这句话会毁了一个男孩 当他被嘲笑为像个女孩时， 那么关于女孩的事，我们会教给 他点什么呢？"
It took me back to a time when I was about 12 years old.	回首往事， 当我约12岁时，
I grew up in tenement buildings in the inner city.	我在城内的贫民区长大。
At this time we're living in the Bronx, and in the building next to where I lived there was a guy named Johnny.	那时我们住在布朗克斯区。 在我住的那个街区，有个叫约翰的年轻人。
He was about 16 years old, and we were all about 12 years old -- younger guys.	他约16岁， 我们都是约12岁的男孩。
And he was hanging out with all us younger guys.	他和我们男孩混在一起。
And this guy, he was up to a lot of no good.	这个人品行不端。
He was the kind of kid who parents would have to wonder, "What is this 16-year-old boy doing with these 12-year-old boys?"	他是个让父母都诧异的那种孩子， "为什么16岁青年也和一群12岁孩子鬼混在一起？"
And he did spend a lot of time up to no good.	他做了很多坏事。
He was a troubled kid.	他也是个制造麻烦的青年。
His mother had died from a heroin overdose.	他母亲死于吸毒过量。
He was being raised by his grandmother.	然后他被奶奶养大。
His father wasn't on the set.	他父亲管不住他。
His grandmother had two jobs.	他奶奶有两个工作。
He was home alone a lot.	他经常独自一人在家。
But I've got to tell you, we young guys, we looked up to this dude, man.	但我要告诉你，在我们年轻人眼里， 我们看得起这个家伙。
He was cool. He was fine.	他很酷也很牛。
That's what the sisters said, "He was fine."	姑娘们都说："他很牛。"
He was having sex.	他有过性行为。
We all looked up to him.	我们都看得起他。
So one day, I'm out in front of the house doing something -- just playing around, doing something -- I don't know what.	有一天，我在屋前做一些事情-- 只是玩耍，做些游戏 - 我记不清了。
He looks out his window; he calls me upstairs; he said, "Hey Anthony."	他从窗口看到我，他叫我上楼，"嗨，安东尼"。
They called me Anthony growing up as a kid.	我孩童时，他们都叫我安东尼。
"Hey Anthony, come on upstairs."	"嗨，安东尼，上楼来"。
Johnny call, you go.	约翰吩咐的，我就去了。
So I run right upstairs.	我就直接跑到楼上。
As he opens the door, he says to me, "Do you want some?"	当门打开，他对我说："你想要点什么吗？"
Now I immediately knew what he meant.	我当时立马知道他的意图。
Because for me growing up at that time, and our relationship with this man box, "Do you want some?" meant one of two things: sex or drugs -- and we weren't doing drugs.	因为在那时我的出身背景， 和我们自身的男人束缚体的关系， "你想要点什么吗"就是指两种事， 性或者毒品-- 我们不吸毒。
Now my box, my card, my man box card, was immediately in jeopardy.	当时我自身的， 这种男人束缚体的表现 立即使我处于危险的境地中。
Two things: One, I never had sex.	两件事：一，我从来没有做过爱。
We don't talk about that as men.	做个男性，我们从来不会谈这些事。
You only tell your dearest, closest friend, sworn to secrecy for life, the first time you had sex.	你只会和你最亲爱的，最要好的朋友发誓要保守这秘密， 才谈起你的第一次性体验。
For everybody else, we go around like we've been having sex since we were two.	二，对于其他人来说，只要是两个人在一起，这就好比他们到哪儿都在做爱。
There ain't no first time.	这也不是什么新鲜事。
The other thing I couldn't tell him is that I didn't want any.	我没有告诉他的事是我啥都不想要。
That's even worse. We're supposed to always be on the prowl.	那会更糟糕。我们总是处于徘徊中。
Women are objects, especially sexual objects.	女人是对象， 特别是性猎物。
Anyway, so I couldn't tell him any of that.	至少，我没有告诉他实情。
So, like my mother would say, make a long story short, I just simply said to Johnny, "Yes."	所以，就像我妈常说，长话短说。 我就告诉约翰"好的"。
He told me to go in his room.	他就叫我去他屋。
I go in his room. On his bed is a girl from the neighborhood named Sheila.	我进了他屋。在床上，有个邻居女孩，谢拉。
She's 16 years old.	她16岁，
She's nude.	全裸。
She's what I know today to be mentally ill, higher-functioning at times than others.	我如今才知道她有精神病， 比起其它人，她有时不正常。
We had a whole choice of inappropriate names for her.	我们有数也数不清的外号用来嘲笑她。
Anyway, Johnny had just gotten through having sex with her.	尽管如此，约翰已经和她做过爱。
Well actually, he raped her, but he would say he had sex with her.	确切地说，他强奸了她，但他会说他与她在做爱。
Because, while Sheila never said no, she also never said yes.	因为，谢拉从不会说不， 也不会说是。
So he was offering me the opportunity to do the same.	所以他让我也好有机会做同样的事。
So when I go in the room, I close the door.	当我走进屋，我关上门。
Folks, I'm petrified.	观众们，当时我惊呆了。
I stand with my back to the door so Johnny can't bust in the room and see that I'm not doing anything, and I stand there long enough that I could have actually done something.	我后背靠着门站着以防约翰闯进屋， 看见我到底在做什么。 我站了很久，我本可以和谢拉做爱。
So now I'm no longer trying to figure out what I'm going to do; I'm trying to figure out how I'm going to get out of this room.	但当时我的确搞不清楚我要做什么， 我试图想从这间屋出去。
So in my 12 years of wisdom, I zip my pants down, I walk out into the room, and lo and behold to me, while I was in the room with Sheila, Johnny was back at the window calling guys up.	12岁的我很机灵， 我把裤裆拉下来， 然后我走出屋。 瞧瞧我， 我刚和谢拉在一起， 约翰在窗口招呼年轻人都上来。
So now there's a living room full of guys.	在客厅围满了人，
It was like the waiting room in the doctor's office.	就好像是在医生诊所的候诊室里一样。
And they asked me how was it, and I say to them, "It was good," and I zip my pants up in front of them, and I head for the door.	他们问我感受如何？ 我说："棒极了"。 然后我在他们面前把裤拉链拉上， 朝门口走去。
Now I say this all with remorse, and I was feeling a tremendous amount of remorse at that time, but I was conflicted, because, while I was feeling remorse, I was excited, because I didn't get caught.	现在我想说这件事让我追悔莫及， 当时我后悔地要死， 但是我又矛盾，因为尽管我后悔，但我还是很兴奋， 因为我没被露馅，
But I knew I felt bad about what was happening.	但我知道发生这种事太糟糕了。
This fear, getting outside the man box, totally enveloped me.	这种想要从男人束缚体中解脱出来的恐惧感 始终困扰着我。
It was way more important to me, about me and my man box card than about Sheila and what was happening to her.	我对我自身 这种男人束缚体的认识 比起发生在谢拉身上 的经历，对我来说它是更重要的。
See collectively, we as men are taught to have less value in women, to view them as property and the objects of men.	具体看来，我们做为男人 被灌输女人价值较小， 视她们为男人的财富和性猎物的象征。
We see that as an equation that equals violence against women.	我们把它看作一个等式，并且对女人实施暴力，动粗。
We as men, good men, the large majority of men, we operate on the foundation of this whole collective socialization.	我们做为男人，好男人， 男人中的多数， 我们在架构 整个集体社会的建立。
