1929 or 1989?	1929年还是1989年?
First, we must make certain that the relevant legislation to meet the challenge of terrorism is strictly temporary.	首先，我们必须确保应对恐怖主义挑战的相关立法是严格具有时限的。
Some of today’s restrictions on habeas corpus and civil liberties have sunset clauses restricting their validity; all such rules should be re-examined by parliaments regularly.	当今的某些对人身自由以及民权的限制含有限制其时效的废止条款。 所有这些法规都应当定期接受议会的重新审查。
Second, and more importantly, our leaders must seek to calm, rather than exploit, public anxiety.	第二，也是更为重要的是，我们的领导人应当力求平息、而不是利用公众的焦虑。
The terrorists with whom we are currently at “war” cannot win, because their dark vision will never gain broad popular legitimacy.	我们目前“交战”的恐怖分子无法获胜，因为他们的黑暗的观点永远不会赢得广泛的公众合法认可。
That is all the more reason for democrats to stand tall in defending our values – first and foremost by acting in accordance with them.	这也就是民主派人士应当身先士卒、首要地以遵循我们的价值观的方式来捍卫它们的原因。
9/11 in Perspective	9·11：十年后的盘点
NEW YORK – It was a decade ago that 19 terrorists took control of four planes, flew two into the twin towers of the World Trade Center, hit the Pentagon with a third, and crashed the fourth in a field in Pennsylvania after passengers resisted and made it impossible for the terrorists to complete their malevolent mission.	纽约——十年前，19名恐怖分子劫持了四架民航客机，其中两架撞上世贸中心双子塔，第三架撞击了五角大楼，第四架在乘客的反抗下无法完成袭击，坠毁于宾夕法尼亚旷野。
In a matter of hours, more than 3,000 innocent people, mostly Americans, but also people from 115 other countries, had their lives suddenly and violently taken from them.	只不过几个小时，3000多无辜平民被突如其来的暴行夺去了生命，其中大多是美国人，但也有来自其他115个国家的人。
September 11, 2001, was a terrible tragedy by any measure, but it was not a historical turning point.	2001年9月11日，以任何标准看都是一个可怕的惨剧，但它并非一个历史转折点。
It did not herald a new era of international relations in which terrorists with a global agenda prevailed, or in which such spectacular terrorist attacks became commonplace. On the contrary, 9/11 has not been replicated.	它并未开启一个由全球恐怖主义主导国际关系的新时代，类似的大规模恐怖袭击也没有变成家常便饭。
Despite the attention devoted to the “Global War on Terrorism,” the most important developments of the last ten years have been the introduction and spread of innovative information technologies, globalization, the wars in Iraq and Afghanistan, and the political upheavals in the Middle East.	虽然人们在“全球反恐战争”上投注了大量精力，但是过去10年最重要的进展是信息技术的创新与传播、全球化、伊拉克与阿富汗战争以及中东的政治动荡。
As for the future, it is much more likely to be defined by the United States’ need to put its economic house in order; China’s trajectory within and beyond its borders; and the ability of the world’s governments to cooperate on restoring economic growth, stemming the spread of nuclear weapons, and meeting energy and environmental challenges.	未来一个阶段的关键，则是美国整修其经济大厦的努力，中国在国内国际事务中的走向，各国政府在重振经济增长、控制核扩散以及应对能源与环境挑战方面的合作能力。
It is and would be wrong to make opposition to terrorism the centerpiece of what responsible governments do in the world.	如果把反对恐怖主义当成负责任的政府在世界上的核心要务，这是错误的。
Terrorists continue to be outliers with limited appeal at best.	恐怖主义仍是边缘角色，它们的吸引力终归是有限的。
They can destroy but not create.	它们只破坏，不建设。
It is worth noting that the people who went into the streets of Cairo and Damascus calling for change were not shouting the slogans of Al Qaeda or supporting its agenda.	值得注意的是，人们走上开罗和大马士革街头，呼喊的并不是基地组织的口号，也没有对它的纲领表示支持。
Moreover, measures have been implemented to push back, successfully, against terrorists.	此外，种种措施已经成功地令恐怖分子退入守势。
Intelligence assets have been redirected. Borders have been made more secure and societies more resilient.	情报资源已重新配置，国境线已变得更安全，社会已变得更有弹性。
International cooperation has increased markedly, in part because governments that cannot agree on many things can agree on the need to cooperate in this area.	反恐国际合作显著增强，部分是因为，各国政府都觉得需要在这一领域加强合作，尽管它们在其他领域颇有分歧。
Military force has played a role as well.	军事力量也扮演着某种角色。
Al Qaeda lost its base in Afghanistan when the Taliban government that had provided it sanctuary was ousted from power.	基地组织丧失了位于阿富汗的巢穴，正式因为向它提供庇护的塔利班政府被推翻。
Osama bin-Laden was finally found and killed by US Special Forces in the suburbs of Islamabad.	奥萨马·本·拉登最终被美国特种部队找到并击毙。
Drones – unmanned aircraft that are remotely steered – have proven to be effective in killing a significant number of terrorists, including many of the most important leaders.	军事无人机在击毙恐怖组织头目的行动中作用非凡。
Weak governments can be made stronger; governments that tolerate or support terrorism must be held accountable.	软弱的政府可以得到加强，纵容乃至支持恐怖主义的政府则必须为此负责。
But progress is not to be confused with victory.	但进展不应被称作胜利。
Terrorists and terrorism cannot be eliminated any more than we can rid the world of disease.	恐怖分子和恐怖主义不可能根除，就像我们不可能从地球上消灭疾病一样。
There will always be those who will resort to force against innocent men, women, and children in pursuit of political goals.	总会有人试图对无辜者动用武力以追求其政治目标，不论是对男人、妇女还是儿童。
Indeed, terrorists are advancing in some areas.	事实上，恐怖分子在某些领域走在了前头。
Pakistan remains a sanctuary for Al Qaeda and some of the world’s other most dangerous terrorists.	巴基斯坦仍在为基地组织和世界上其他一些最危险的恐怖分子提供庇护所。
A mixture of instability, government weakness, and ideology in countries such as Yemen, Libya, Somalia, and Nigeria are providing fertile territory for terrorists to organize, train, and mount operations – much as they did in Afghanistan did a decade ago.	由于局势动荡、政府软弱和意识形态等等原因，也门、利比亚、索马里和尼日利亚也在沦为恐怖主义滋生的沃土，它们在那些地方组织、训练、实施行动，就像在十年前的阿富汗一样。
New groups constantly emerge from the ruins of old ones.	旧的组织刚被摧毁，新的组织就冒出头来。
There is also a growing danger of homegrown terrorism.	本土恐怖主义的危险也在增长。
We have seen it in Great Britain and the US.	我们在英国和美国都看到了这种迹象。
The Internet, one of the great inventions of the modern Western world, has shown itself to be a weapon that can be used to incite and train those who wish to cause harm to that world.	互联网，这一现代西方世界的伟大发明，也被当成武器，激励并训练那些试图危害这个世界的人。
The question raised in October 2003 by then US Secretary of Defense Donald Rumsfeld is no less relevant today: “Are we capturing, killing, or deterring and dissuading more terrorists every day than the madrassas and the radical clerics are recruiting, training, and deploying against us?”	2003年10月，时任美国国防部长拉姆斯菲尔德曾提出一个问题，至今仍很中肯：“我们每天俘虏、击毙、关押和改造过来的恐怖分子，能比伊斯兰学校和激进宗教人士每天招募、训练和派遣出来反对我们的人数多吗？
All things being equal, we probably are.	”如果将一切等量齐观，那我们也许已经做到了。
But even small terrorist successes are costly in terms of lives, money, and making open societies less so.	但恐怖分子的任何一点微小成功，对开放社会都意味着高昂的生命和金钱成本，从这个意义上说，我��得不偿失。
What is to be done?	那我们该怎么办？
Alas, there is no single or silver bullet.	可惜没有一蹴而就的办法。
The establishment of a Palestinian state will not be enough for those terrorists who want to see the elimination of the Jewish state, any more than reaching a compromise over Kashmir will satisfy those Pakistan-based terrorists with bigger agendas vis-à-vis India.	巴勒斯坦建国还是不够，因为恐怖分子想要消灭犹太人的国家； 在克什米尔问题上达成妥协，也无法满足巴基斯坦恐怖分子对印度更大的领土要求。
Reducing unemployment is desirable, of course, but many terrorists do not come from poverty.	减少失业当然是件好事，但许多恐怖分子并非穷人出身。
Helping to make societies in the Middle East and elsewhere more democratic might reduce the alienation that can lead to radicalism and worse, but this is easier said than done.	帮助中东和其他地方的社会变得更民主有助于缓解边缘化作用，遏制极端主义，但这说起来比做起来容易。
Of course, we want to continue to find ways to make ourselves less vulnerable and terrorists more so.	当然，我们需要继续想办法，让我们变强，让恐怖分子变弱。
But what may be most important, particularly in the Arab and Islamic communities, is to end any acceptance of terrorism.	但最重要的是阻止恐怖主义以任何方式进行传播，尤其是在阿拉伯和伊斯兰社会。
The Nigerian father who warned the US embassy in Lagos that he feared what his own son might do – before that same young man attempted to detonate a bomb aboard a flight to Detroit on Christmas Day 2009 – is an example of just this.	2009年圣诞节，尼日利亚的一位父亲向美国驻拉各斯大使馆警告说，他担心他的儿子会做出可怕的事情来，从而阻止了后者在飞往底特律的航班上引爆一枚炸弹，这就是一个很好的例子。
Only when more parents, teachers, and community leaders behave likewise will recruitment of terrorists dry up and law-enforcement authorities receive full cooperation from the populations they police.	只有当更多的父母、教师和社会领袖以这样的方式行动起来，才能令恐怖分子的来源枯竭，执法部门才能获得民众的全力配合。
Terrorism must lose its legitimacy among those who have historically supported or tolerated it before it will lose its potency.	在那些传统上支持或纵容恐怖主义的地方，恐怖主义必须先丧失其合法性，才会进一步丧失能量。
Transatlantic Trade for All	所有人的跨大西洋贸易
WASHINGTON, DC – The negotiations to create a Transatlantic Trade and Investment Partnership between the European Union and the United States are being widely welcomed.	华盛顿—欧盟和美国之间关于成立跨大西洋贸易和投资合作伙伴（TTIP）的谈判受到了广泛的欢迎。
British Prime Minister David Cameron has called the TTIP a “once-in-a-generation prize,” citing potential gains of £80 billion ($125.5 billion) each for the EU and the US and £85 billion for the rest of the world.	英国首相卡梅伦将TTIP称为“一代人只有一次的机会”，认为它将给欧盟和美国各带来800亿英镑的潜在收益，给世界其他地区带来850亿英镑的潜在收益。
For a world weary of waiting for the World Trade Organization’s interminable Doha trade round to conclude, even a bilateral trade initiative may seem like a boon, especially when, as a recent Financial Times editorial pointed out, “bilateral” covers half of the world’s economy.	对于一个等待世贸组织冗长的多哈回合最后结果已经不耐烦的世界来说，即使是双边计划也像是天降恩惠，特别是在《金融时报》最近所指出的“双边”关系包括了世界经济半壁江山的当下。
But there is a serious downside: The deal could hurt developing-country exporters, unless the EU and the US make a concerted effort to protect these actors’ interests.	但风险也是巨大的：TTIP协议可能伤害发展中国家的出口，除非欧盟和美国携手保护这些行动方的利益。
The feature of the proposed pact that elicits the most excitement – its focus on regulatory barriers like mandatory product standards – should actually incite the greatest concern.	计划中的契约引起最多兴奋情绪的部分——其对强制性产品标准等监管壁垒的强调——实际上最应该引起关注。
Given low tariffs in the EU and the US – less than 5%, on average – further preferential reductions will not seriously handicap outsiders.	欧盟和美国关税很低——平均不到5%——因此进一步的优惠降税并不会严重影响其他国家。
But, when it comes to standards – such as those governing safety, health, and the environment – the market-access requirements are brutal and binary: either you meet the established standard or you do not sell.	但是，在标准问题上——比如涉及安全、健康和环境的标准——市场准入标准是严酷且二分的：要么满足规定的标准，要么别来这里卖东西。
As a result, third-country firms’ options will depend on how TTIP standards are established: through harmonization (adoption of a common standard) or mutual recognition (acceptance of goods that meet one another’s established standards).	其结果是第三国企业的选择将取决于TTIP标准如何设置：通过协调（采取共同标准）还是通过互相承认（接受满足彼此规定标准的商品和服务）。
The first option would enable producers everywhere to take advantage of economies of scale.	第一种选择将让世界各地的生产者都能够利用规模经济的优势。
But, in some cases, the harmonized standard could be more stringent than some countries’ original standards.	但是，在一些场合，协调后的标准���能比某些国家原先的标准更加苛刻。
Even though new standards would apply to suppliers from all exporting countries, compliance costs usually vary, meaning that those less equipped to meet higher standards could suffer.	尽管新标准将适用于所有出口国供应商，但合规成本通常各不相同，这意味着更难以满足高标准的企业会遭受损失。
In the late 1990’s, when the EU decided to harmonize standards for aflatoxins (a group of toxic compounds produced by certain molds), eight member states – including Italy, the Netherlands, and Spain – raised their national standards substantially, which is likely to have caused African exports of cereals, dried fruits, and nuts to Europe to decline by as much as $670 million.	20世纪90年代末，欧盟决定协调黄曲霉素标准（黄曲霉素是某些霉菌产生的有毒成分族），八个成员国——包括意大利、荷兰和西班牙——大幅度提高了国家标准，这或许就是非洲国家队欧洲的谷物、水果干和坚果对欧出口下降6. 7亿美元的原因。
With mutual recognition, the EU and the US would accept each other’s standards or conformity-assessment procedures, allowing firms to adhere to the less stringent requirements in each area.	若采取互相承认，那么欧盟和美国将承认彼此的标准或合规评估程序，企业会在各种标准中选择不太苛刻的那种。
If the policy were extended to third-country firms, it would have a powerful liberalizing impact.	如果该政策扩展到第三国企业，就会产生极大的自由化作用。
For example, Malaysian television producers could choose to comply with, say, America’s easier-to-meet safety standards, then sell the same product in both markets, reaping the benefits of economies of scale while lowering compliance costs.	比如，马来西亚电视生产商可能选择符合（比如）美国较易符合的安全标准，然后在欧美两地销售同样的产品，既享受了规模经济的好处，又降低了合规成本。
If, however, the TTIP excluded third-country firms from the mutual recognition policy, their competitiveness vis-à-vis European and American companies would diminish substantially.	但是，如果TTIP将第三国企业排除在互相承认政策之外，那么它们相对欧洲和美股公司的竞争力将受到极大的削弱。
Indeed, our research shows that when mutual-recognition agreements include restrictive rules of origin, intra-regional trade increases – at the expense of trade with other countries – and that developing countries tend to suffer most.	事实上，我们的研究表明，若互相承诺协议包括严格的来源国限制，则地区内贸易将增加，与其他国家的贸易会削弱，发展中国家损失最大。
In fact, excessively constraining rules of origin have proved problematic for some of the EU’s previous recognition agreements, such as those governing professional-services standards.	事实上，欧盟此前的不少承认协议（比如在专业服务标准方面）表明，过度约束的来源地规则很有问题大有问题。
While a Brazilian orange admitted for sale in Portugal can be sold throughout the EU, a Brazilian engineer or accountant licensed in Portugal must fulfill separate licensing requirements to work elsewhere in the EU, hampering much-needed labor mobility by forcing non-European workers to endure costly and inefficient bureaucratic procedures.	尽管获准在葡萄牙出售的巴西橙可以在整个欧盟出售，但获得葡萄牙执照的巴西工程师和会计师仍必须满足欧盟其他地区各自的执业要求，这迫使非欧洲工人忍受费时费力的官僚主义流程，不利于急需的劳动力流动。
Furthermore, when it comes to tariffs and standards, WTO rules are not created equal.	此外，在关税和标准方面，世贸组织规则并不平等。
While they protect countries excluded from bilateral or regional tariff agreements, thereby ensuring that integrated markets do not receive additional advantages, few safeguards exist to shield third countries from the fallout of agreements on mandatory standards.	尽管世贸组织规则保护着被双边和地区关税协定排除在外的国家，从而确保一体化市场不会获得其他附加的优势，但保护第三国免受强制性标准协议影响的保护措施几乎不存在。
Even in the absence of international rules, the EU and the US could take two actions to ensure that the TTIP does not have adverse consequences for developing economies.	即使没有国际法，欧盟和美国也可以采取两个动作确保TTIP不会损害发展中经济体。
First, they could allow all countries to reap the benefits of a bilateral mutual-recognition deal by agreeing not to impose restrictive rules of origin.	首先，它们可以同意不实施严格的来源地规则，这将使所有国家都能享受到双边互相承认协议的好处。
Second, where they do consider harmonization, they could favor the less stringent of the original standards, unless there is credible evidence that it would not support the relevant regulatory objective.	其次，在考虑协调的领域，它们可以倾向于原始标准中较不苛刻的一个，除非有充分的证据表明这样做不利于相关监管目标。
This is akin to a WTO test for departures from established international standards.	这类似于世贸组织的脱离现行国际标准测试。
If the EU and the US made these two commitments, the rest of the world could follow the TTIP negotiations with hope, rather than trepidation.	如果欧盟和美国实施了这两点，世界其他国家将可以带着希望而不是恐惧追踪TTIP。
A Balanced Look at Sino-American Imbalances	中美贸易不平衡的平衡观
BEIJING – Before July 2007, most economists agreed that global imbalances were the most important threat to global growth.	发自北京——在2007年7月以前，大多数经济学家都认为全球增长的最重大威胁来自于全球贸易不平衡。
It was argued that the United States’ rising net foreign debt-to-GDP ratio – the result of chronic current-account deficits – would put a sharp brake on capital inflows, in turn weakening the dollar, driving up interest rates, and plunging the US economy into crisis.	他们觉得美国净外债与GDP比率的不断上升——这是长期经常账户赤字所引发的后果——将导致资金流入急剧减少，随之削弱美元，而后利率上涨，并最终令美国经济陷入危机当中。
But this scenario failed to materialize. Instead, the crisis stemmed from the US sub-prime debacle, which quickly dragged the global economy into its deepest recession since the 1930’s.	但这一设想却未能成为现实，事实上本次危机源自于美国次级贷款的崩盘，并当即将全球经济拖入了一场自1930年代以来最为严重的衰退当中。
Most economists failed to foresee the economic dynamics that actually led to the crisis, because they failed to pay enough attention to the rapid increase in US total debt.	而大多数经济学家之所以无法预见到危机背后的真正经济驱动力，是因为他们对美国总债务的快速增长缺乏足够的关注。
Instead, they focused exclusively on US foreign debt, ignoring household debt (mortgage and consumer debt), public debt, business debt, and financial debt.	实际上他们把注意力都放在了美国的外债上，却忽视了家庭负债（抵押贷款和消费者债务）、公共负债，商业债务和金融债务等方面的问题。
In particular, they should have paid greater attention to the sustainability of US mortgage and consumer debt.	他们尤其应当对美国抵押贷款和消费者债务的可持续性给予更多的关注。
In 2007, the mortgage and consumer debt-to-GDP ratio was more than 90%, compared to 24% for net foreign debt.	在2007年，上述两项负债与GDP的比率已经上升到90%以上，而与此同时净外债的相关比率只有24%。
Of course, the various components of debt differ considerably in their character and sources of financing – and thus in their sustainability.	当然，债务的不同组成部分也因各自的特性和资金来源而大不相同——而其可持续性也是如此。
But all parts of a country’s total debt and how it is financed are interconnected.	但一国总债务的各个组成部分及其资助方式之间显然是有所关联的。
This means two things. First, funds from different sources of finance are interchangeable to a certain degree: deficiency of funds for one component of total debt can be supplemented by surplus funds originally aimed at financing other components.	这意味着两点，首先：来自不同融资来源的资金在某种程度上是可互换的：总债务中某项资金出现的赤字可以用原本提供给其他用途的多余资金来填补。
Second, troubles in any single component of total debt will have an impact on all the other components.	其二，总债务中某一部分所导致的问题将对其他部分造成影响。
After the subprime crisis erupted, mortgage and consumer debt was paid down by households either with their savings or by default.	在次贷危机爆发之后，美国家庭只能用储蓄来支付抵押贷款和消费者债务，或者被迫放弃偿还。
The fall in US total debt, and the narrowing of the financing gap between total debt and domestic funds, led to a significant improvement in the US current-account deficit in 2008-2009, disproving US Federal Reserve Board Chairman Ben Bernanke’s claim that the deficit was caused by a global “saving glut.”	美国总债务的下降，以及总债务和国内资金之间财政缺口的缩窄，都使得美国经常账户赤字状况在2008-2009财年大大改善，也证明美联储主席伯南克宣称该赤字是由全球“储蓄偏好”所引发的观点是错误的。
Indeed, America’s current-account position strengthened despite the dollar’s appreciation in the face of safe-haven demand.	事实上尽管美元在避险需求下升值，美国经常账户状况却得到了巩固。
Unfortunately, as a result of the private-sector deleveraging and an increase in household savings, the US economy, driven by debt and consumption, slid into recession.	但不幸的是，随着私人部门去杠杆化以及家庭储蓄的增加，由负债和消费驱动的美国经济陷入了衰退。
To offset the negative impact of private-sector deleveraging on growth, the US government has maintained expansionary fiscal and monetary policies.	为了减少私人部门去杠杆化对经济增长的负面影响，美国政府采取了一系列扩张性的货币和财政政策。
Now, with household debt sustained on a knife-edge after feverish government intervention, the fiscal position has deteriorated dramatically and the current-account balance has worsened again.	如今政府大力干预后的家庭负债状况依然处于危险边缘，同时财政状况急剧恶化，经常账户平衡状况也再度变差。
Sustainability of public debt has replaced sustainability of private debt as the biggest threat to financial stability, and the focus of debate about the US current account has shifted from the sustainability of foreign debt to the impact of reducing the external deficit on growth and employment.	公共债务的可持续性已经取代私人债务成为美国金融稳定的最大问题，而针对美国经常账户状况的争论焦点也从外债的可持续性转移到外部赤字降低对增长和就业的影响。
The dilemma facing US policymakers is how to stimulate growth while lowering the level of total debt.	对此美国的政策制定者目前陷入了困境：一方面要促进增长，另一方面又得降低总债务水平。
The most important way to achieve both objectives is to increase exports by strengthening US competitiveness.	而实现这两大目标的最重要方式就是透过提升美国国家竞争力的方式来增加出口。
But where will increased competitiveness come from?	但这些竞争力的提升又从何而来？ ，
Devaluation of the dollar could improve US competitiveness in the short run, but it is not a solution.	将美元贬值的做法能在短期内提升美国的竞争力，但却非长久之策。
Because rapid fiscal deterioration now has investors worrying about capital losses on US government securities, devaluation would make foreigners more hesitant to finance America’s budget deficit.	因为财政状况的迅速恶化已经令投资者们对自己美国政府债券上的资本损失忧虑不已，此外贬值也将使外国人更不愿意资助美国的预算赤字。
If foreign financing is not forthcoming, yields on US government debt will rise and the US economy will fall back into recession.	如果得不到外国资金，美国政府债务的收益率将被迫提升而美国经济也将重新陷入衰退。
In the long run, America’s growth pattern must undergo a structural shift from reliance on debt and consumption one based on Americans vaunted capacity for creativity and innovation.	长期来说，美国的发展模式必须由原本对负债和消费的依赖转向美国人引以为荣的创新能力。
Only then will America improve its competitiveness enough to allow the government to reduce both private and public debt to sustainable levels while maintaining a respectable growth rate.	只有这样美国才能真正提升其竞争力，并使政府可以在保持合理增长率的同时将私人和公共债务都降低到一个可持续的水平上。
But neither improved competitiveness, nor reduction of total debt, can be achieved overnight.	但提升竞争力和减少总债务这两个目标都不可能一蹴而就。
In the short run, the US current-account deficit will remain, regardless of which country runs bilateral surpluses.	无论对其拥有双边贸易顺差的是哪一个国家，美国的经常账户赤字将在短期内继续存在。
Thus, China’s continued reinvestment of its current-account surplus in US government securities is of utmost important for US growth and financial stability.	因此中国将其贸易盈余持续投资在美国政府债券上的行为对美国的经济增长和金融稳定都是极为重要的。
Given that America benefits mightily from China’s purchases of US government securities, it is difficult to understand why the US government and Congress have been complaining so much about the bilateral current-account deficit.	考虑到美国在中国购买美国国债方面获取的重大利益，我们很难理解美国政府和国会为何总是对中美双边经常账户赤字大肆抱怨。
It is also difficult to grasp why China is so reluctant to reduce its bilateral surplus, given meager returns on its massive holdings of US government securities and a sustained risk of large capital losses in the future.	而于此同时，我们也难以解释中国为何不愿减少其双边贸易盈余，因为大规模持有美国政府债券回报极低，而且还存在着巨额资本流失风险。
The good news is that, following President Hu Jintao’s recent visit to Washington, both America and China have been taking positive steps to resolve their differences over the bilateral current-account balance.	但好消息是，在中国国家主席胡锦涛最近的访美之行中，中美两国都在解决双边贸易不平衡方面做出了积极的举措。
That augurs well for a more rational and constructive Sino-American dialogue on global imbalances, which would certainly benefit the global economy.	这预示着一个更加理性也更富建设性的中美全球贸易不平衡对话，而这也将对全球经济有所裨益。
A Banking Union Baby Step	银行联盟第一步
BRUSSELS – At the beginning of the financial crisis, it was said that banks were, in Charles Goodhart’s crisp phrase, “international in life, but national in death.”	布鲁塞尔—金融危机开始时，人们用查尔斯·古德哈特（Charles Goodhart）的名言来描述银行：“生而国际，死而民族。
At the time (2008-2009), large international banks had to be rescued by their home countries’ governments when they ran into trouble.	”当是时（2008—2009年），国际大银行在深陷困境时不得不由母国政府出手相救。
But the problem now in Europe is the opposite: banks are “national in life, but European in death.”	但如今，欧洲的问题与此正好相反，银行“生而民族，死而欧洲”。
In Spain, for example, local savings banks (cajas) financed an outsize real-estate boom.	比如，在西班牙，地方储蓄银行是超级地产繁荣的融资提供者。
As the boom turned to bust, the losses threatened to overwhelm the capacity of the Spanish state, and the problem became European, because it threatened the very survival of the euro.	随着繁荣变为萧条，由此产生的损失已快要超过了西班牙整个国家的能力，这一问题变成了欧洲问题，因为事关欧元存亡。
The Spanish case is symptomatic of a larger problem.	西班牙的状况是一个更大问题的症状。
National supervisors always tend to minimize problems at home.	国家层面的监管者总是试图最小化国内问题。
Their instinct (and their bureaucratic interest) is to defend their countries’ “national champion” bank(s) abroad.	他们的本能（也是他们官僚主义利益之所在）是捍卫“国宝”（national champion）银行在国外的表现。
But their resistance to recognizing problems at home runs even deeper.	但他们对辨认国内问题的抵触更加严重。
Until recently, the Spanish authorities maintained that the problems in their country’s real-estate sector were temporary.	直到最近，西班牙当局才不再坚持该国房地产部门问题不是暂时性的。
To acknowledge the truth would have meant admitting that for years they had overlooked the build-up of an unsustainable construction boom that now threatens to bankrupt the entire country.	承认真相意味着多年来他们忽略了不可持续建设繁荣的风险，以至于如今整个国家都陷入了破产危险。
In the case of Ireland, the situation was initially not much different.	在爱尔兰，最初的情况与西班牙并没有太大不同。
When problems started to surface, the finance minister at the time initially claimed that the country would carry out “the cheapest bank rescue ever.”	当问题开始浮现时，时任财政部长宣称爱尔兰将实行“史上成本最小的银行救援”。
Given national supervisors’ predictable tendency not to recognize problems at home, it seemed natural that the cost of cleaning up insolvent banks should also be borne at the national level.	不难预料，国家级监管者总是倾向于对国内问题视而不见，因此，清算资不抵债银行的成本应该由各国自行承担似乎是自然而然的事情。
It thus seemed to make sense that even in the eurozone, banking supervision remained largely national.	于是，即使是在欧元区，银行监管大体上仍维持各国各自为政的局面似乎也不无道理。
The recently created European Banking Authority has only limited powers over national supervisors, whose daily work is guided mainly by national considerations.	新近成立的欧洲银行局所有用的权限比日常工作主要根据国内情况进行的国家级监管者大不了多少。
But reality has shown that this approach is not tenable.	但现实已经证明，这条道路走不通。
Problems might originate at the national level, but, owing to monetary union, they quickly threaten the stability of the entire eurozone banking system.	问题也许肇始于国家层面，但是，由于货币联盟的存在，它们很快会威胁到整个欧元区银行系统的稳定性。
At their June summit, Europe’s leaders finally recognized the need to rectify this situation, transferring responsibility for banking supervision in the eurozone to the European Central Bank.	在6月峰会上，欧洲领导人最终意识到修正这一情况、将欧元区银行监管职能移交给欧洲央行的重要性。
Given that financial integration is particularly strong within the monetary union, putting the ECB in charge was an obvious choice.	作为货币联盟，金融一体化在欧元区非常牢固，这使得欧洲央行成了不二之选。
Moreover, the ECB already bears de facto responsibility for the stability of the eurozone’s banking system.	此外，欧洲央行事实上早已承担起了维持欧元区银行系统稳定的职能。
But, until now, it had to lend massive amounts to banks without being able to judge their soundness, because all of that information was in the hands of national authorities who guarded it jealously and typically denied problems until it was too late.	但是，迄今为止，欧洲央行仍必须在无法判断银行稳健程度的情况下向它们大规模贷款，因为所有信息都掌握在国家级监管者手中，而后者对此死抓不放，出了问题总是拼命掩盖，直到无法收场为止。
Putting the ECB in charge should also help to stop the creeping disintegration process, which is not publicly visible, but is very real nonetheless.	让欧洲央行来行使此职能还有助于阻止正在潜滋暗长的去一体化过程，该过程尽管还没有进入公众视野，但已成为现实威胁。
Just ask any of the large international banking groups headquartered in financially stressed eurozone countries.	只消问问坐落于受困欧元区国家的任何大型国际银行集团总部便可推知一二。
Consider the case of a bank headquartered in Italy, but with an important subsidiary in Germany.	就拿总部设在意大利的某家一行来说吧，这家银行在德国设有一家重要分行。
The German operations naturally generate a surplus of funds (given that savings in Germany far exceed investment on average).	德国分行自然手握资金盈余（因为平均而言德国储蓄远高于投资）。
The parent bank would like to use these funds to reinforce the group’s liquidity.	总行希望使用这笔资金增强整个集团的流动性。
But the German supervisory authorities consider Italy at risk and thus oppose any transfer of funds there.	但德国监管当局认为意大利存在风险，因此反对资金转移。
The supervisor of the home country (Italy) has the opposite interest.	母国（意大利）监管者的利益正好与此相反。
It would like to see the “internal capital market” operate as much as possible.	它希望看到“内部资本市场”操作，越多越好。
Here, too, it makes sense to have the ECB in charge as a neutral arbiter with respect to these opposing interests.	在这里，让欧洲央行来充当尊重这些对立利益的中立仲裁者才是合适的。
But, while putting the ECB in charge of banking supervision solves one problem, it creates another: can national authorities still be held responsible for saving banks that they no longer supervise?	但是，尽管让欧洲央行行使银行监管职能可���解决问题，但也会造成另一个问题：国家级监管当局是否需要继续对其不再行使监管职能的储蓄银行负责？
Economic (and political) logic requires that the eurozone will soon also need a common bank rescue fund.	经济（和政治）逻辑意味着很快欧元区又需要一个共同银行援助基金。
Officially, this has not yet been acknowledged.	这一需要尚未被正式承认。
But that is often the way that European integration proceeds: an incomplete step in one area later requires further steps in related areas.	但此乃欧洲一体化进程中的典型做法：在某领域出台的不完整措施要求在相关领域出台后续措施。
This incremental approach has worked well in the past; indeed, today’s European Union resulted from it.	这一增量办法在过去效果甚丰； 事实上，今天的欧盟就是这样产生的。
But a financial crisis does not give policymakers the time that they once had to explain to voters why one step required another.	但金融危机使得决策者不再像过去那样有时间向选民解释为什么一项措施会带来另一项措施。
They will have to walk much more quickly to save the euro.	他们需要大大加快动作不乏，这样才能拯救欧元。
The Renewed Promise of Abenomics	安倍经济学的新一轮承诺
TOKYO – Japan’s Liberal Democratic Party scored a decisive victory in the December 14 parliamentary election, with Japanese voters demonstrating their overwhelming approval of Prime Minister Shinzo Abe’s macroeconomic policy agenda.	发自东京——日本自民党在今年12月14日的国会大选中取得了决定性的胜利，因为日本选民们一面倒地支持首相安倍晋三的宏观经济政策议程。
Though voter turnout was relatively low, owing largely to the somewhat technical nature of the issues, the election’s message was clear: most Japanese abhor the prospect of a return to the grim economic trajectory that prevailed in Japan before “Abenomics.”	虽然选民投票率还是相对较低——这在很大程度上源自于这类事务的某种技术性本质——但这场选举所传达出来的信息也非常清晰：大多数日本人都不愿意回到“安倍经济学”之前那种低迷经济轨道中去。
When the first “arrow” of Abenomics – a fiscal stimulus program – was launched nearly two years ago, asset markets' immediate response was positive.	当安倍经济学的第一支箭——财政刺激计划——在两年前射出之后，资产市场立刻作出了积极回应。
The second arrow of Abenomics – monetary easing – intensified these effects.	而安倍经济学的第二支箭——货币宽松——则强化了这一效应。
